CP,Colonia,Distancia,Horas,Genero,Edad,Viajes
3020,Narvarte_Poniente,60.98711751,113.4780056,-33632,35.3536588,41.77020891
3100,Del_Valle__Centro,64.70935813,121.3165941,-30188,32.57796217,48.63308308
3103,Del_Valle_Norte,57.49128032,152.7462679,-37276,33.55928952,48.23685777
3104,Del_Valle_Sur,52.24731186,4275.588553,-38700,9.200595585,1.377120349
3200,Tlacoquemecatl,19.85979172,14.0115278,-12908,32.44622187,171.8584893
3230,Actipan,14.88215963,11.02266271,-6280,31.07873959,123.382166
3240,Acacias,15.04452631,7.953438693,-7428,34.53258896,192.6210862
3303,Portales_Norte,3.229350808,0.21443299,-2240,22.92658837,1455
3310,Santa_Cruz_Atoyac,50.35635298,33.26010092,-10936,34.50683238,44.858553
3320,Residencial_Empreradores,0.159326571,3.775192528,-940,0.165423269,47.6796875
3330,Xoco,16.18727976,7.292992542,-4204,30.67406428,132.7301508
3340,General_Pedro_Maria_Anaya,39.60699169,10.93601857,-6552,35.92563323,76.81040356
3650,Letran_Valle,11.36422111,1.847330235,-4344,31.93772385,324.7930384
3700,Santa_Maria_Nonoalco,11.9663255,3.724616789,-4492,30.27071651,271.7058042
3710,Ciudad_de_los_Deportes,24.98351849,7.868869372,-8588,32.59048664,222.6495214
3720,Nochebuena,3.61800383,2.372742114,-2040,20.79885664,296.703125
3740,Extremadura_Insurgentes,8.146049656,6.367385859,-4664,28.63301659,181.5501723
3800,San_Pedro_de_los_Pinos,40.22261498,25.06626501,-21292,32.91678223,140.4277821
3810,Napoles,50.07741694,156.4087907,-29156,38.46501122,55.52117603
3840,Ampliacion_Napoles,8.019927156,4.309069394,-7288,26.87184431,289.6216992
3920,Insurgentes_Mixcoac,38.32522702,56.4912987,-17680,33.68196748,61.03594853
5600,San_Mateo_Tlaltenango,1.933920353,0.296967409,-6308,23.22597614,3973.5
6100,Hipodromo,38.60346536,54.0855405,-53268,33.56310031,195.46814
6140,Condesa,22.81374485,58.75104734,-42280,34.70313343,161.2226578
6170,Hipodromo_Condesa,21.80963357,27.45633126,-27144,33.41355117,219.4029473
6470,San_Rafael,4.735328024,0.901166945,-12356,27.1823806,2099.5
6500,Cuauhtemoc,196.5262443,2671.380519,-322688,34.70416352,24.10588815
6700,Roma_Norte,43.53523087,88.58351951,-77376,34.16423355,188.1614107
11510,Polanco_I_Seccion,168.0491021,995.091663,-150208,36.0480015,45.98571338
11511,Polanco_II_Seccion,2.384172054,0.397102985,-3724,22.81014064,2830.5
11800,Escandon_I_Seccion,7.495450574,3.552874983,-8820,24.29692384,395.1729252
